#{"t_start": 1706727432.6936316, "env_id": "CurvyRaceEnv-v0"}
r,l,t
-11.25902,100,78.196692
50.818853,100,78.396863
37.464364,100,78.592031
3.436845,100,78.7892
46.108309,100,78.977363
41.557147,100,79.177034
46.453446,100,79.397724
49.060291,100,79.594893
55.866773,100,79.782054
-26.002135,100,79.983727
46.99871,100,80.178395
77.551694,100,80.377065
8.408506,100,80.569731
11.925529,100,80.757892
41.169658,100,80.939048
40.965912,100,81.119203
-16.759152,100,81.294353
6.814594,100,81.475009
29.387161,100,81.671177
0.416902,100,81.864342
56.88392,100,82.052505
-9.59475,100,82.246171
6.051506,100,82.434333
32.318836,100,82.678042
9.189821,100,82.889724
56.221576,100,83.099404
35.819313,100,83.306082
-6.762993,100,83.522267
31.189882,100,83.731448
45.900284,100,84.051222
82.923041,100,84.275915
46.591036,100,84.471583
29.936455,100,84.736311
-21.589443,100,85.029062
-13.584561,100,85.195205
44.782784,100,85.374359
70.665367,100,85.543004
66.643171,100,85.70164
40.152438,100,85.883798
56.627988,100,86.055444
55.384522,100,86.241604
53.958647,100,86.434271
102.53961,100,86.613924
61.157793,100,86.777065
130.623169,100,86.937702
42.94757,100,87.129367
53.782249,100,87.30752
42.359832,100,87.486674
48.901137,100,87.672834
55.870927,100,87.87751
53.473644,100,88.069174
28.034188,100,88.255334
79.466346,100,88.454005
81.623289,100,88.759768
44.051642,100,88.964445
141.336387,100,89.127083
73.718152,100,89.342769
74.471225,100,89.532432
55.027154,100,89.686064
66.039589,100,89.851706
59.235533,100,89.993829
76.369251,100,90.165977
80.233451,100,90.342128
93.143591,100,90.508771
72.625439,100,90.676414
59.783957,100,90.827044
70.961491,100,91.011703
51.976723,100,91.177845
66.474197,100,91.337983
92.950259,100,91.566179
40.782874,100,91.770355
64.954551,100,91.965022
65.488279,100,92.161691
66.956224,100,92.383382
66.263984,100,92.585055
74.216931,100,92.798238
76.222248,100,93.012423
87.169114,100,93.213595
82.773821,100,93.441291
56.169449,100,93.64897
65.600666,100,93.967743
67.31842,100,94.193937
65.763699,100,94.379096
91.238848,100,94.601288
67.647199,100,94.803962
64.738444,100,94.985117
78.60786,100,95.199301
83.064693,100,95.413987
63.128837,100,95.623665
71.988772,100,95.829843
79.81261,100,96.108583
86.986408,100,96.349289
56.759077,100,96.522938
79.993602,100,96.684077
81.737463,100,96.831203
59.948648,100,96.983835
69.494202,100,97.135465
61.774382,100,97.30361
75.636329,100,97.462246
52.044078,100,97.626388
53.515571,100,97.787025
66.905033,100,97.95567
73.188697,100,98.115807
75.537162,100,98.284452
69.820214,100,98.445591
60.643462,100,98.615236
83.745938,100,98.778877
58.085354,100,98.975546
77.614999,100,99.149697
79.51605,100,99.313837
67.321111,100,99.487986
79.362005,100,99.658633
83.399443,100,99.828779
83.31566,100,100.003931
92.858946,100,100.184084
80.384591,100,100.357233
86.199459,100,100.529881
89.791725,100,100.708535
67.659369,100,100.875178
73.369331,100,101.051329
72.621976,100,101.244996
80.481707,100,101.429656
76.52858,100,101.601803
74.896346,100,101.791966
79.236284,100,102.00615
75.973413,100,102.193312
76.428676,100,102.382483
66.498844,100,102.580644
73.630619,100,102.779815
23.865189,100,102.977485
91.717362,100,103.168149
64.337797,100,103.349304
71.17737,100,103.550477
46.645344,100,103.753652
59.706558,100,103.958327
22.427337,100,104.177015
45.148412,100,104.373185
90.547312,100,104.56585
76.456446,100,104.766022
66.424454,100,104.971699
78.991847,100,105.172871
50.75078,100,105.417582
58.745901,100,105.626761
70.165323,100,105.829436
63.926134,100,106.050125
83.341564,100,106.252799
68.728844,100,106.460478
56.320717,100,106.66015
67.698789,100,106.85832
59.792369,100,107.057991
67.751011,100,107.262667
63.214091,100,107.453831
54.92337,100,107.657006
62.957316,100,107.850172
60.598028,100,108.026823
57.111117,100,108.20948
66.34418,100,108.398643
77.737403,100,108.5813
59.05699,100,108.792981
80.860546,100,108.978142
61.658718,100,109.162299
56.78946,100,109.342954
78.01554,100,109.533118
69.893223,100,109.73279
78.497282,100,109.934963
75.019429,100,110.141641
74.525905,100,110.343314
80.918892,100,110.538481
71.375109,100,110.740155
74.775211,100,110.944831
59.935934,100,111.147005
71.572277,100,111.355185
79.176464,100,111.555356
75.970654,100,111.758029
76.587421,100,111.948193
83.127505,100,112.185397
72.740052,100,112.373058
73.001257,100,112.564723
71.604073,100,112.773402
71.502497,100,112.969069
66.485005,100,113.15573
72.806155,100,113.352399
64.702213,100,113.55157
70.83977,100,113.73773
65.612534,100,113.916886
71.727458,100,114.094537
57.941792,100,114.275193
74.074279,100,114.464354
51.001053,100,114.635502
87.514875,100,114.821662
70.049771,100,115.014828
67.068211,100,115.198486
59.606641,100,115.438693
54.954879,100,115.629857
74.338774,100,115.826525
63.683691,100,116.032202
65.302801,100,116.232374
78.678708,100,116.43655
65.995382,100,116.630718
53.250029,100,116.825884
72.462693,100,117.022053
75.184479,100,117.218722
76.655951,100,117.413889
68.386748,100,117.596046
77.568419,100,117.787711
76.298031,100,117.982378
81.676084,100,118.183551
84.699383,100,118.376717
74.860064,100,118.597906
63.195685,100,118.787069
73.548762,100,118.982738
62.866709,100,119.174402
89.146823,100,119.37057
76.762281,100,119.565239
88.233445,100,119.749897
77.903209,100,119.93956
64.269303,100,120.133727
43.210402,100,120.324892
60.85553,100,120.530567
91.776103,100,120.745752
82.984242,100,120.973448
85.140779,100,121.169616
86.36256,100,121.379797
83.512958,100,121.584473
78.633905,100,121.80166
55.244038,100,122.024851
79.50278,100,122.224022
72.284563,100,122.424695
74.345912,100,122.631372
77.458321,100,122.83805
79.059871,100,123.049232
62.479786,100,123.268921
87.767251,100,123.474597
71.477837,100,123.676771
79.711661,100,123.890454
74.782409,100,124.099133
71.59604,100,124.314819
80.550352,100,124.517493
63.31835,100,124.73468
70.790984,100,124.934851
83.948264,100,125.140028
66.930318,100,125.345205
73.991953,100,125.579906
80.53827,100,125.783581
72.146133,100,125.992261
73.796283,100,126.203942
97.29158,100,126.413622
93.210897,100,126.60779
82.351761,100,126.802956
86.263749,100,127.010636
82.70445,100,127.21381
80.765384,100,127.418486
79.075666,100,127.625163
87.331805,100,127.830841
83.936823,100,128.034516
92.746203,100,128.234687
82.853181,100,128.437362
71.843215,100,128.641537
71.234116,100,128.84271
52.965659,100,129.068403
-9.585494,100,129.270577
59.391971,100,129.47275
67.641403,100,129.690938
61.100913,100,129.899117
67.75751,100,130.107797
17.550482,100,130.302964
84.974053,100,130.509141
23.066712,100,130.705811
21.843413,100,130.900979
33.561446,100,131.103152
25.459319,100,131.295317
70.166515,100,131.488483
81.552253,100,131.687154
62.718421,100,131.885324
61.780907,100,132.094003
12.727582,100,132.296178
31.923233,100,132.511362
81.949034,100,132.71754
91.780301,100,132.910705
78.486298,100,133.110877
83.08318,100,133.304043
90.746382,100,133.500712
76.060346,100,133.694379
76.453854,100,133.880038
81.246166,100,134.079209
86.180807,100,134.280883
79.797996,100,134.471546
84.093702,100,134.665213
75.704487,100,134.851873
79.072075,100,135.040536
79.437565,100,135.231699
51.031331,100,135.425366
93.905941,100,135.610525
60.505205,100,135.827211
80.297587,100,136.017875
72.712276,100,136.216546
70.399354,100,136.415216
90.548064,100,136.594871
80.528676,100,136.787035
94.802617,100,136.980202
94.49149,100,137.162359
78.362335,100,137.341012
91.172176,100,137.52467
82.163919,100,137.707327
85.900156,100,137.884479
87.138429,100,138.073141
77.987411,100,138.256299
92.519191,100,138.427947
95.773262,100,138.623114
77.929422,100,138.807272
67.18739,100,139.02596
63.368957,100,139.222629
70.258009,100,139.406787
52.338615,100,139.600954
52.411646,100,139.810634
62.454765,100,140.017311
60.851908,100,140.228494
46.243998,100,140.447181
65.848347,100,140.649356
54.185817,100,140.855031
44.654735,100,141.054202
54.876263,100,141.268387
78.872272,100,141.480569
68.939081,100,141.698255
78.643591,100,141.905934
67.143911,100,142.099601
65.544677,100,142.30778
47.611263,100,142.547986
82.834644,100,142.747158
88.171073,100,142.961842
77.271513,100,143.16952
88.723142,100,143.3787
81.536104,100,143.572366
87.246636,100,143.781045
95.319937,100,143.979216
82.846928,100,144.18139
87.124139,100,144.39107
83.482432,100,144.587238
77.276259,100,144.790414
86.261324,100,144.989083
82.616024,100,145.193259
89.67665,100,145.382421
84.460252,100,145.583594
85.728732,100,145.786768
81.270357,100,146.015465
69.853929,100,146.224645
79.839985,100,146.430823
85.526483,100,146.631495
58.378051,100,146.834169
72.715098,100,147.026835
79.352919,100,147.226506
81.856293,100,147.437187
80.094772,100,147.654374
103.534922,100,147.849041
61.502393,100,148.038204
74.495264,100,148.251387
63.869148,100,148.449058
64.036171,100,148.640722
69.765711,100,148.844396
82.024975,100,149.055078
73.938262,100,149.273265
79.732375,100,149.469434
88.612818,100,149.661099
94.547091,100,149.863273
87.286238,100,150.045929
85.792004,100,150.251605
88.725152,100,150.437265
86.61558,100,150.636436
89.203908,100,150.8281
84.059053,100,151.026771
85.82788,100,151.215435
90.033105,100,151.406097
78.002057,100,151.596261
70.945078,100,151.784422
90.375417,100,151.982093
92.14674,100,152.184266
86.80341,100,152.37543
91.181563,100,152.597622
94.030536,100,152.790788
68.522388,100,152.978949
96.775632,100,153.168612
110.595851,100,153.355273
82.826957,100,153.560949
74.525546,100,153.768628
92.495974,100,153.955288
81.513434,100,154.150455
82.363332,100,154.345122
87.790168,100,154.546796
83.344751,100,154.748471
87.656459,100,154.944138
76.737171,100,155.139305
84.645568,100,155.328968
78.796611,100,155.525137
92.940196,100,155.713299
96.070046,100,155.949501
101.229885,100,156.133159
87.602206,100,156.320821
94.732387,100,156.515489
91.604542,100,156.712157
83.15568,100,156.90332
89.697917,100,157.09849
83.079303,100,157.293156
