Rg,Spieler,Land,Pos,Verein,Alt,Geboren,GS,Startelf,Min.,90,Tor,Vor,T+V,T-Elf,Elf,VeElf,Gelb,Rot,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Tor,Vor,T+V,T-Elf,T+V-Elf,xG,xAG,xG+xAG,npxG,npxG+xAG
412,Miloš Veljković,SRB,DF,Werder Bremen,28-100,1995,13,12,1.097,12.2,1,1,2,1,0,0,2,0,0.9,0.9,0.5,14,7,47,7,8,8,16,8,16,7,4,12,7,12
413,Oscar Vilhelmsson,SWE,"FW,MF",Darmstadt 98,20-094,2003,9,5,445.0,4.9,1,0,1,1,0,0,1,0,0.8,0.8,0.0,8,3,1,25,20,0,20,20,20,17,0,17,17,17
414,Kevin Vogt,GER,DF,Hoffenheim,32-103,1991,16,14,1.319,14.7,0,0,0,0,0,0,2,0,0.7,0.7,0.1,8,16,84,12,0,0,0,0,0,5,1,5,5,5
415,Kevin Volland,GER,"MF,FW",Union Berlin,31-158,1992,10,6,495.0,5.5,2,3,5,1,1,1,0,1,1.9,1.1,1.4,25,4,20,44,36,55,91,18,73,35,26,61,20,46
416,Aster Vranckx,BEL,MF,Wolfsburg,21-092,2002,12,6,636.0,7.1,0,0,0,0,0,0,4,0,0.0,0.0,0.2,2,3,29,6,0,0,0,0,0,1,3,3,1,3
417,Luca Waldschmidt,GER,"MF,FW",Köln,27-230,1996,15,10,848.0,9.4,2,0,2,2,0,0,0,0,1.7,1.7,1.0,27,26,37,42,21,0,21,21,21,18,11,29,18,29
418,Wout Weghorst,NED,FW,Hoffenheim,31-150,1992,12,12,972.0,10.8,4,0,4,3,1,1,3,0,3.8,3.0,1.6,47,8,20,51,37,0,37,28,28,35,15,51,28,43
419,Julian Weigl,GER,MF,M'Gladbach,28-118,1995,15,15,1.341,14.9,1,2,3,0,1,1,4,0,1.2,0.4,1.6,19,8,60,5,7,13,20,0,13,8,11,18,2,13
420,Nelson Weiper,GER,"FW,MF",Mainz 05,18-293,2005,3,1,104.0,1.2,0,0,0,0,0,0,0,0,0.0,0.0,0.2,2,3,2,17,0,0,0,0,0,4,13,17,4,17
421,Mitchell Weiser,GER,"DF,FW",Werder Bremen,29-258,1994,16,16,1.384,15.4,1,4,5,1,0,0,3,0,1.0,1.0,1.7,28,34,51,93,7,26,33,7,33,7,11,18,7,18
422,Noah Weißhaupt,GER,"DF,MF",Freiburg,22-106,2001,13,4,451.0,5.0,1,1,2,1,0,0,1,0,0.4,0.4,1.1,15,28,15,51,20,20,40,20,40,8,22,31,8,31
