Rg,Spieler,Land,Pos,Verein,Alt,Geboren,GS,Startelf,Min.,90,Tor,Vor,T+V,T-Elf,Elf,VeElf,Gelb,Rot,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Tor,Vor,T+V,T-Elf,T+V-Elf,xG,xAG,xG+xAG,npxG,npxG+xAG
180,Jakub Kamiński,POL,"FW,MF",Wolfsburg,21-213,2002,11,1,165.0,1.8,0,0,0,0,0,0,0,0,0.2,0.2,0.1,4,7,10,20,0,0,0,0,0,12,7,20,12,20
181,Kevin Kampl,SVN,MF,RB Leipzig,33-087,1990,13,9,854.0,9.5,1,0,1,1,0,0,2,0,0.1,0.1,0.8,9,20,65,16,11,0,11,11,11,1,9,9,1,9
182,Harry Kane,ENG,FW,Bayern Munich,30-160,1993,15,15,1.318,14.6,21,5,26,18,3,3,1,0,15.1,12.8,4.9,177,17,43,68,143,34,178,123,157,103,34,137,87,121
183,Atakan Karazor,GER,MF,Stuttgart,27-083,1996,16,16,1.364,15.2,0,2,2,0,0,0,4,0,0.7,0.7,1.2,19,12,68,19,0,13,13,0,13,5,8,13,4,13
184,Emir Karic,AUT,DF,Darmstadt 98,26-209,1997,10,6,657.0,7.3,0,0,0,0,0,0,1,0,0.2,0.2,0.6,7,23,42,42,0,0,0,0,0,2,8,10,2,10
185,Silas Katompa,COD,"FW,MF",Stuttgart,25-090,1998,16,8,726.0,8.1,3,1,4,3,0,1,0,0,5.0,4.2,1.0,52,37,17,101,37,12,50,37,50,61,13,74,52,64
186,Mikkel Kaufmann,DEN,"FW,DF",Union Berlin,23-001,2001,8,0,100.0,1.1,1,0,1,1,0,0,0,0,0.3,0.3,0.0,3,1,4,11,90,0,90,90,90,27,0,27,27,27
187,Naby Keïta,GUI,MF,Werder Bremen,28-328,1995,3,1,81.0,0.9,0,0,0,0,0,0,1,0,0.1,0.1,0.0,1,1,8,2,0,0,0,0,0,12,0,12,12,12
188,Yannik Keitel,GER,MF,Freiburg,23-323,2000,3,2,126.0,1.4,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,6,4,0,0,0,0,0,0,0,0,0,0
189,Thomas Keller,GER,"MF,FW",Heidenheim,24-152,1999,2,0,2.0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,2,0,0,0,0,0,0,0,0,0,0,0
190,Aljoscha Kemlein,GER,MF,Union Berlin,19-155,2004,2,0,29.0,0.3,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0,1,0,0,0,0,0,14,0,14,14,14
191,Tobias Kempe,GER,MF,Darmstadt 98,34-191,1989,13,8,737.0,8.2,3,1,4,0,3,3,0,0,3.2,0.8,1.5,23,8,24,27,37,12,49,0,12,39,18,57,10,28
192,Rani Khedira,GER,MF,Union Berlin,29-342,1994,5,5,360.0,4.0,0,0,0,0,0,0,1,1,0.0,0.0,0.0,0,3,8,7,0,0,0,0,0,0,0,0,0,0
193,Luca Kilian,GER,DF,Köln,24-125,1999,9,2,275.0,3.1,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0,4,3,1,0,0,0,0,0,0,1,1,0,1
194,Joshua Kimmich,GER,MF,Bayern Munich,28-330,1995,11,11,856.0,9.5,1,3,4,1,0,0,0,1,0.4,0.4,2.6,30,13,100,16,11,32,42,11,42,5,27,31,5,31
195,Christoph Klarer,AUT,DF,Darmstadt 98,23-204,2000,15,14,1.17,13.0,0,2,2,0,0,0,5,0,0.4,0.4,0.7,11,7,42,7,0,15,15,0,15,3,5,9,3,9
196,Tim Kleindienst,GER,FW,Heidenheim,28-126,1995,16,16,1.397,15.5,6,3,9,4,2,2,2,0,8.0,6.5,2.0,84,21,41,95,39,19,58,26,45,52,13,65,42,54
197,Lukas Klostermann,GER,DF,RB Leipzig,27-215,1996,13,8,781.0,8.7,1,0,1,1,0,0,3,0,0.5,0.5,0.4,9,11,58,7,12,0,12,12,12,6,4,11,6,11
198,Ansgar Knauff,GER,"MF,FW",Eint Frankfurt,21-359,2002,13,10,798.0,8.9,3,0,3,3,0,0,4,1,2.6,2.6,0.7,34,29,18,57,34,0,34,34,34,30,8,38,30,38
199,Robin Knoche,GER,DF,Union Berlin,31-227,1992,12,11,1.041,11.6,0,0,0,0,0,1,0,0,1.0,0.2,0.2,3,2,47,1,0,0,0,0,0,8,1,10,2,3
200,Gregor Kobel,SUI,TW,Dortmund,26-029,1997,16,16,1.375,15.3,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
201,Robin Koch,GER,DF,Eint Frankfurt,27-171,1996,14,14,1.233,13.7,1,0,1,1,0,0,4,0,1.0,1.0,0.0,10,6,38,1,7,0,7,7,7,7,0,8,7,8
202,Dominik Kohr,GER,"MF,DF",Mainz 05,29-338,1994,15,13,1.024,11.4,0,0,0,0,0,0,6,0,0.9,0.9,0.8,17,12,57,13,0,0,0,0,0,8,7,15,8,15
203,Randal Kolo Muani,FRA,FW,Eint Frankfurt,25-030,1998,2,2,153.0,1.7,1,0,1,1,0,0,0,0,1.3,1.3,0.0,13,6,3,9,59,0,59,59,59,77,0,77,77,77
204,Kouadio Koné,FRA,MF,M'Gladbach,22-232,2001,8,7,609.0,6.8,1,0,1,1,0,0,3,1,0.3,0.3,0.3,6,16,22,28,15,0,15,15,15,5,4,9,5,9
205,Odilon Kossonou,CIV,DF,Leverkusen,23-000,2001,15,14,1.208,13.4,1,0,1,1,0,0,2,0,0.6,0.6,0.5,11,30,83,15,7,0,7,7,7,4,4,8,4,8
206,Dawid Kownacki,POL,FW,Werder Bremen,26-296,1997,9,3,215.0,2.4,0,0,0,0,0,0,0,0,0.3,0.3,0.1,4,3,2,16,0,0,0,0,0,14,5,18,14,18
207,Alex Král,CZE,MF,Union Berlin,25-230,1998,12,8,762.0,8.5,0,0,0,0,0,0,2,0,0.8,0.8,0.3,11,9,25,15,0,0,0,0,0,9,3,13,9,13
208,Andrej Kramarić,CRO,"MF,FW",Hoffenheim,32-199,1991,13,10,923.0,10.3,6,1,7,2,4,4,3,0,5.0,1.9,2.8,47,27,41,62,59,10,68,20,29,49,28,77,18,46
209,Christoph Kramer,GER,MF,M'Gladbach,32-319,1991,10,1,182.0,2.0,0,0,0,0,0,0,2,0,0.1,0.1,0.1,2,8,9,7,0,0,0,0,0,5,6,12,5,12
210,Frans Krätzig,GER,DF,Bayern Munich,20-355,2003,4,0,56.0,0.6,0,0,0,0,0,0,0,0,0.3,0.3,0.3,5,0,7,7,0,0,0,0,0,42,42,84,42,84
211,Tom Krauß,GER,MF,Mainz 05,22-196,2001,15,8,800.0,8.9,1,0,1,1,0,0,3,0,0.3,0.3,0.1,5,7,34,14,11,0,11,11,11,4,1,5,4,5
212,Lukas Kübler,GER,DF,Freiburg,31-127,1992,12,10,853.0,9.5,0,0,0,0,0,0,2,0,0.4,0.4,0.2,5,3,27,18,0,0,0,0,0,4,2,6,4,6
213,Moritz-Broni Kwarteng,GHA,"FW,MF",Bochum,25-251,1998,6,1,164.0,1.8,0,1,1,0,0,0,1,0,0.5,0.5,0.5,10,5,5,13,0,55,55,0,55,26,30,56,26,56
214,Maxence Lacroix,FRA,DF,Wolfsburg,23-273,2000,14,14,1.192,13.2,1,0,1,1,0,0,3,2,0.4,0.4,0.2,7,2,54,2,8,0,8,8,8,3,2,5,3,5
215,Aïssa Laïdouni,TUN,MF,Union Berlin,27-022,1996,13,8,724.0,8.0,0,3,3,0,0,0,1,0,0.4,0.4,0.5,9,11,42,26,0,37,37,0,37,5,7,11,5,11
216,Konrad Laimer,AUT,"DF,MF",Bayern Munich,26-222,1997,15,10,1.016,11.3,0,2,2,0,0,0,2,0,0.3,0.3,2.4,27,42,57,48,0,18,18,0,18,3,21,24,3,24
217,Hugo Larsson,SWE,MF,Eint Frankfurt,19-191,2004,14,13,1.155,12.8,2,1,3,2,0,0,0,0,1.2,1.2,1.3,25,20,39,25,16,8,23,16,23,10,10,20,10,20
218,Diogo Leite,POR,DF,Union Berlin,24-346,1999,15,15,1.315,14.6,0,0,0,0,0,0,2,0,0.7,0.7,0.1,8,10,74,2,0,0,0,0,0,5,1,5,5,5
219,Maxim Leitsch,GER,DF,Mainz 05,25-231,1998,5,4,367.0,4.1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,1,7,0,0,0,0,0,0,0,0,0,0,0
220,Christopher Lenz,GER,"DF,MF",RB Leipzig,29-104,1994,4,0,36.0,0.4,0,0,0,0,0,0,0,0,0.0,0.0,0.1,1,0,2,5,0,0,0,0,0,0,29,29,0,29
221,Christopher Lenz,GER,DF,Eint Frankfurt,29-104,1994,1,0,10.0,0.1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
222,Jamie Leweling,GER,"MF,FW",Stuttgart,22-312,2001,16,6,548.0,6.1,0,1,1,0,0,0,1,0,2.2,2.2,2.0,42,26,9,68,0,16,16,0,16,36,33,69,36,69
223,Philipp Lienhart,AUT,DF,Freiburg,27-177,1996,14,14,1.236,13.7,1,0,1,1,0,0,3,0,1.1,1.1,1.1,22,14,52,3,7,0,7,7,7,8,8,16,8,16
224,Matthijs de Ligt,NED,DF,Bayern Munich,24-145,1999,8,3,279.0,3.1,1,0,1,1,0,0,2,0,1.2,1.2,0.0,12,2,10,1,32,0,32,32,32,38,0,38,38,38
225,Jesper Lindstrøm,DEN,FW,Eint Frankfurt,23-309,2000,1,1,83.0,0.9,0,0,0,0,0,0,0,0,0.2,0.2,0.0,2,2,1,9,0,0,0,0,0,20,0,20,20,20
226,Dejan Ljubicic,AUT,"MF,FW",Köln,26-088,1997,15,13,1.109,12.3,0,0,0,0,0,0,3,0,0.8,0.8,1.4,22,26,51,39,0,0,0,0,0,6,12,18,6,18
227,Noah Loosli,SUI,"DF,MF",Bochum,26-346,1997,7,0,165.0,1.8,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,1,3,1,0,0,0,0,0,0,0,0,0,0
228,Anthony Losilla,FRA,MF,Bochum,37-300,1986,15,15,1.216,13.5,1,1,2,1,0,0,3,0,0.9,0.9,0.5,14,7,47,19,7,7,15,7,15,7,4,11,7,11
229,Castello Lukeba,FRA,DF,RB Leipzig,21-018,2002,15,11,987.0,11.0,1,0,1,1,0,0,2,0,0.4,0.4,0.1,5,11,51,4,9,0,9,9,9,4,1,5,4,5
230,Senne Lynen,BEL,MF,Werder Bremen,24-319,1999,15,4,444.0,4.9,0,1,1,0,0,0,2,0,0.1,0.1,0.7,8,4,13,9,0,20,20,0,20,2,15,17,2,17
231,Matej Maglica,CRO,DF,Darmstadt 98,25-101,1998,13,9,741.0,8.2,1,0,1,1,0,0,2,2,0.4,0.4,0.2,5,7,32,4,12,0,12,12,12,4,2,7,4,7
232,Arne Maier,GER,"DF,MF",Augsburg,24-361,1999,4,0,65.0,0.7,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,1,2,7,0,0,0,0,0,0,0,0,0,0
233,Linton Maina,GER,"FW,MF",Köln,24-195,1999,14,12,991.0,11.0,1,1,2,1,0,0,0,0,0.8,0.8,1.7,24,66,27,87,9,9,18,9,18,7,15,22,7,22
234,Patrick Mainka,GER,DF,Heidenheim,29-059,1994,16,16,1.44,16.0,2,0,2,2,0,0,1,0,1.8,1.8,0.0,18,15,60,2,12,0,12,12,12,11,0,11,11,11
235,Lovro Majer,CRO,"MF,FW",Wolfsburg,25-352,1998,16,14,1.122,12.5,2,2,4,1,1,1,2,0,2.4,1.6,1.8,34,28,59,75,16,16,32,8,24,19,14,34,13,27
236,Jordy Makengo,FRA,DF,Freiburg,22-154,2001,5,3,308.0,3.4,0,0,0,0,0,0,0,0,0.0,0.0,0.1,1,10,15,13,0,0,0,0,0,0,2,2,0,2
237,Donyell Malen,NED,"FW,MF",Dortmund,24-360,1999,15,11,955.0,10.6,5,0,5,5,0,0,1,0,5.0,5.0,1.4,64,45,29,80,47,0,47,47,47,47,13,60,47,60
238,Lennard Maloney,USA,MF,Heidenheim,24-088,1999,16,16,1.332,14.8,0,1,1,0,0,0,0,0,0.5,0.5,0.6,11,1,38,9,0,7,7,0,7,3,4,8,3,8
239,David Mamutovic,GER,DF,Mainz 05,23-030,2000,1,0,5.0,0.1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
240,Braydon Manu,GHA,MF,Darmstadt 98,26-282,1997,2,1,81.0,0.9,0,0,0,0,0,0,1,0,0.3,0.3,0.0,4,2,1,8,0,0,0,0,0,37,2,40,37,40
241,Omar Marmoush,EGY,"FW,MF",Eint Frankfurt,24-331,1999,15,13,1.084,12.0,7,3,10,6,1,1,5,0,5.3,4.5,3.1,76,37,25,73,58,25,83,50,75,44,26,70,37,63
242,Eric Martel,GER,MF,Köln,21-250,2002,13,13,1.115,12.4,0,0,0,0,0,0,2,0,1.3,1.3,0.2,16,5,33,18,0,0,0,0,0,11,2,13,11,13
243,Erhan Mašović,SRB,DF,Bochum,25-043,1998,14,12,1.118,12.4,0,0,0,0,0,0,4,0,0.8,0.8,0.3,11,1,23,7,0,0,0,0,0,7,2,9,7,9
244,Roberto Massimo,GER,"DF,FW",Stuttgart,23-084,2000,3,0,61.0,0.7,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,2,3,3,0,0,0,0,0,0,0,0,0,0
245,Philipp Max,GER,"DF,MF",Eint Frankfurt,30-096,1993,13,11,841.0,9.3,0,1,1,0,0,0,2,0,0.1,0.1,1.2,12,17,32,35,0,11,11,0,11,1,12,13,1,13
246,Eric Maxim Choupo-Moting,CMR,"MF,FW",Bayern Munich,34-287,1989,14,3,330.0,3.7,2,0,2,2,0,0,1,0,3.9,3.9,1.4,53,7,10,32,55,0,55,55,55,106,37,143,106,143
247,Noussair Mazraoui,MAR,DF,Bayern Munich,26-051,1997,11,10,820.0,9.1,0,3,3,0,0,0,3,0,0.8,0.8,1.5,22,24,81,52,0,33,33,0,33,9,16,25,9,25
248,Kevin Mbabu,SUI,DF,Augsburg,28-260,1995,10,7,714.0,7.9,0,0,0,0,0,0,1,0,0.1,0.1,0.7,8,24,26,31,0,0,0,0,0,1,9,10,1,10
249,Noah Mbamba,BEL,MF,Leverkusen,18-364,2005,2,0,15.0,0.2,0,1,1,0,0,0,0,0,0.0,0.0,0.6,6,1,2,1,0,600,600,0,600,15,337,352,15,352
250,Nathanael Mbuku,FRA,FW,Augsburg,21-294,2002,1,0,5.0,0.1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,1,1,1,4,0,0,0,0,0,56,69,125,56,125
251,Marvin Mehlem,GER,MF,Darmstadt 98,26-115,1997,13,13,972.0,10.8,3,2,5,3,0,0,3,0,3.6,3.6,0.7,43,22,35,50,28,19,46,28,46,33,7,40,33,40
252,Thomas Meunier,BEL,DF,Dortmund,32-114,1991,4,3,258.0,2.9,0,0,0,0,0,0,0,0,0.4,0.4,0.1,5,6,10,12,0,0,0,0,0,13,3,16,13,16
253,Alexander Meyer,GER,TW,Dortmund,32-266,1991,1,0,65.0,0.7,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
254,Sven Michel,GER,"FW,MF",Augsburg,33-173,1990,11,5,434.0,4.8,1,1,2,0,1,1,2,0,1.0,0.2,0.3,6,4,11,25,21,21,41,0,21,21,7,29,5,12
255,Enzo Millot,FRA,"MF,FW",Stuttgart,21-171,2002,14,12,1.028,11.4,2,2,4,2,0,0,1,0,1.3,1.3,2.0,33,24,64,85,18,18,35,18,35,11,18,29,11,29
256,Jovan Milošević,SRB,FW,Stuttgart,18-157,2005,4,0,27.0,0.3,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,1,1,0,0,0,0,0,0,0,0,0,0
257,Kim Min-jae,KOR,DF,Bayern Munich,27-050,1996,15,15,1.317,14.6,1,0,1,1,0,0,2,0,0.6,0.6,0.2,8,9,89,2,7,0,7,7,7,4,2,6,4,6
258,Maximilian Mittelstädt,GER,DF,Stuttgart,26-292,1997,14,7,706.0,7.8,0,2,2,0,0,0,2,0,0.2,0.2,1.6,18,26,52,44,0,25,25,0,25,3,21,23,3,23
259,Youssoufa Moukoko,GER,FW,Dortmund,19-045,2004,8,0,150.0,1.7,1,0,1,1,0,0,0,0,0.3,0.3,0.0,4,4,2,5,60,0,60,60,60,20,2,22,20,22
260,Andreas Müller,GER,MF,Darmstadt 98,23-168,2000,3,0,53.0,0.6,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,2,0,0,0,0,0,0,0,0,0,0,0
261,Jannik Müller,GER,DF,Darmstadt 98,29-351,1994,7,7,604.0,6.7,0,0,0,0,0,0,3,0,0.1,0.1,0.0,1,2,16,5,0,0,0,0,0,1,0,1,1,1
262,Kevin Müller,GER,TW,Heidenheim,32-295,1991,16,16,1.44,16.0,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
263,Marcus Müller,GER,MF,Mainz 05,21-137,2002,1,0,18.0,0.2,0,0,0,0,0,0,0,0,0.1,0.1,0.0,1,0,1,0,0,0,0,0,0,26,0,26,26,26
264,Thomas Müller,GER,MF,Bayern Munich,34-113,1989,13,6,500.0,5.6,1,6,7,1,0,0,0,0,2.0,2.0,4.4,64,13,24,50,18,108,126,18,126,35,80,115,35,115
265,Jamal Musiala,GER,"MF,FW",Bayern Munich,20-312,2003,10,7,649.0,7.2,3,2,5,3,0,0,1,0,2.3,2.3,1.8,41,33,38,45,42,28,69,42,69,32,24,57,32,57
266,Phillipp Mwene,AUT,DF,Mainz 05,29-340,1994,9,9,754.0,8.4,0,1,1,0,0,0,1,0,0.3,0.3,1.4,17,18,26,38,0,12,12,0,12,4,17,21,4,21
267,Joakim Mæhle,DEN,DF,Wolfsburg,26-229,1997,15,14,1.257,14.0,1,1,2,1,0,0,3,0,0.9,0.9,1.3,22,41,57,77,7,7,14,7,14,6,10,16,6,16
268,Nathan N'Goumou,FRA,"FW,MF",M'Gladbach,23-296,2000,15,7,668.0,7.4,2,1,3,2,0,0,0,0,1.6,1.6,0.3,19,19,17,64,27,13,40,27,40,22,4,26,22,26
269,Stanley N'Soki,FRA,DF,Hoffenheim,24-270,1999,2,0,25.0,0.3,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,2,0,0,0,0,0,0,0,0,0,0,0
270,Luca Netz,GER,DF,M'Gladbach,20-234,2003,14,13,1.121,12.5,0,3,3,0,0,0,1,0,0.6,0.6,2.2,27,23,36,53,0,24,24,0,24,4,17,22,4,22
271,Manuel Neuer,GER,TW,Bayern Munich,37-283,1986,7,7,630.0,7.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
272,Florian Neuhaus,GER,MF,M'Gladbach,26-294,1997,13,7,606.0,6.7,3,0,3,3,0,0,1,0,1.7,1.7,0.5,22,15,36,19,45,0,45,45,45,25,8,33,25,33
273,Jessic Ngankam,GER,"FW,DF",Eint Frankfurt,23-168,2000,13,2,249.0,2.8,0,0,0,0,0,1,2,0,1.5,0.7,0.0,7,2,1,16,0,0,0,0,0,54,1,55,26,27
274,Moritz Nicolas,GER,TW,M'Gladbach,26-075,1997,14,14,1.26,14.0,0,0,0,0,0,0,2,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
275,Justin Njinmah,GER,"FW,MF",Werder Bremen,23-050,2000,14,2,361.0,4.0,3,2,5,3,0,0,1,0,2.4,2.4,1.6,40,11,6,42,75,50,125,75,125,60,40,100,60,100
276,Niels Nkounkou,FRA,"DF,MF",Eint Frankfurt,23-064,2000,12,3,417.0,4.6,1,1,2,1,0,0,0,0,0.2,0.2,0.2,4,14,13,27,22,22,43,22,43,5,4,9,5,9
277,Felix Nmecha,GER,MF,Dortmund,23-086,2000,10,6,605.0,6.7,0,2,2,0,0,0,2,0,1.0,1.0,0.6,15,11,29,18,0,30,30,0,30,14,9,23,14,23
278,Alexander Nübel,GER,TW,Stuttgart,27-096,1996,16,16,1.44,16.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
279,Fabian Nürnberger,GER,"DF,MF",Darmstadt 98,24-160,1999,12,11,955.0,10.6,1,1,2,1,0,0,2,0,0.5,0.5,1.4,19,16,41,56,9,9,19,9,19,5,13,18,5,18
280,Tim Oermann,GER,"DF,MF",Bochum,20-090,2003,5,1,98.0,1.1,0,0,0,0,0,0,0,0,0.0,0.0,0.1,1,3,6,0,0,0,0,0,0,0,9,9,0,9
281,Masaya Okugawa,JPN,"FW,DF",Augsburg,27-265,1996,2,0,32.0,0.4,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,1,2,0,0,0,0,0,0,0,0,0,0
282,Finn Ole Becker,GER,MF,Hoffenheim,23-210,2000,12,3,340.0,3.8,0,0,0,0,0,0,1,0,0.2,0.2,0.3,5,10,19,19,0,0,0,0,0,6,7,14,6,14
283,Mathias Olesen,LUX,"MF,FW",Köln,22-289,2001,6,0,112.0,1.2,0,0,0,0,0,0,2,1,0.0,0.0,0.0,0,2,7,2,0,0,0,0,0,2,1,3,2,3
284,Dani Olmo,ESP,"MF,FW",RB Leipzig,25-242,1998,5,3,282.0,3.1,2,1,3,2,0,0,0,0,0.6,0.6,0.9,15,7,11,21,64,32,96,64,96,18,29,48,18,48
285,Jonas Omlin,SUI,TW,M'Gladbach,29-359,1994,2,2,180.0,2.0,0,1,1,0,0,0,0,0,0.0,0.0,0.4,4,0,0,0,0,50,50,0,50,0,18,18,0,18
286,Karim Onisiwo,AUT,"FW,MF",Mainz 05,31-293,1992,12,9,797.0,8.9,0,3,3,0,0,0,0,0,1.0,1.0,1.1,21,16,17,68,0,34,34,0,34,11,13,24,11,24
287,Loïs Openda,BEL,FW,RB Leipzig,23-322,2000,16,16,1.255,13.9,11,4,15,9,2,2,4,0,10.5,8.9,2.9,118,40,21,117,79,29,108,65,93,75,21,96,64,85
288,Leon Opitz,GER,"FW,DF",Werder Bremen,18-268,2005,2,0,17.0,0.2,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,1,0,2,0,0,0,0,0,0,0,0,0,0
289,Willi Orban,HUN,DF,RB Leipzig,31-062,1992,3,3,270.0,3.0,0,0,0,0,0,0,0,0,0.1,0.1,0.0,1,3,25,2,0,0,0,0,0,5,0,5,5,5
290,Ivan Ordets,UKR,DF,Bochum,31-180,1992,9,9,753.0,8.4,0,0,0,0,0,0,2,0,0.5,0.5,0.3,8,3,16,4,0,0,0,0,0,6,3,9,6,9
291,Patrick Osterhage,GER,"MF,DF",Bochum,23-337,2000,11,8,772.0,8.6,1,0,1,1,0,0,2,0,0.7,0.7,0.2,8,11,28,34,12,0,12,12,12,8,2,10,8,10
292,Salih Özcan,TUR,MF,Dortmund,25-358,1998,9,6,548.0,6.1,0,0,0,0,0,0,2,0,0.1,0.1,0.7,9,7,27,10,0,0,0,0,0,2,12,14,2,14
293,Willian Pacho,ECU,DF,Eint Frankfurt,22-080,2001,16,16,1.44,16.0,0,0,0,0,0,0,4,0,0.7,0.7,0.1,8,12,64,3,0,0,0,0,0,4,1,5,4,5
294,Gonçalo Paciência,POR,FW,Bochum,29-156,1994,10,4,414.0,4.6,3,0,3,3,0,0,2,0,2.0,2.0,0.8,27,6,17,28,65,0,65,65,65,42,16,59,42,59
295,Exequiel Palacios,ARG,MF,Leverkusen,25-091,1998,15,14,1.205,13.4,2,2,4,1,1,1,5,0,1.4,0.6,2.7,33,15,98,33,15,15,30,7,22,11,20,30,5,25
296,Miloš Pantović,SRB,MF,Union Berlin,27-181,1996,1,0,15.0,0.2,1,0,1,1,0,0,0,0,0.8,0.8,0.0,8,1,0,1,600,0,600,600,600,455,0,455,455,455
297,Antonios Papadopoulos,GER,DF,Dortmund,24-116,1999,1,0,27.0,0.3,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
298,Matondo-Merveille Papela,GER,"MF,DF",Mainz 05,22-351,2001,7,1,141.0,1.6,0,0,0,0,0,0,1,0,0.1,0.1,0.3,4,5,6,4,0,0,0,0,0,3,19,23,3,23
299,Leart Paqarada,KVX,DF,Köln,29-088,1994,12,9,864.0,9.6,0,0,0,0,0,0,0,0,0.2,0.2,1.3,15,20,42,22,0,0,0,0,0,2,14,16,2,16
300,Kevin Paredes,USA,"MF,FW",Wolfsburg,20-242,2003,13,3,350.0,3.9,1,0,1,1,0,0,1,0,0.9,0.9,0.3,12,9,12,32,26,0,26,26,26,23,8,31,23,31
301,Felix Passlack,GER,DF,Bochum,25-220,1998,7,6,434.0,4.8,0,0,0,0,0,0,1,0,0.2,0.2,0.4,6,2,16,25,0,0,0,0,0,5,8,13,5,13
302,Jiří Pavlenka,CZE,TW,Werder Bremen,31-265,1992,7,7,630.0,7.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
303,Aleksandar Pavlovic,GER,MF,Bayern Munich,19-246,2004,5,3,299.0,3.3,0,2,2,0,0,0,1,0,0.2,0.2,0.6,9,7,26,2,0,60,60,0,60,7,19,26,7,26
304,Mads Pedersen,DEN,DF,Augsburg,27-125,1996,15,13,1.113,12.4,1,1,2,1,0,0,5,0,0.3,0.3,1.4,17,31,29,38,8,8,16,8,16,3,11,14,3,14
305,Jordan Pefok,USA,FW,M'Gladbach,27-253,1996,9,7,497.0,5.5,2,1,3,2,0,0,0,0,2.4,2.4,0.5,29,3,11,30,36,18,54,36,54,44,9,53,44,53
306,Jordan Pefok,USA,FW,Union Berlin,27-253,1996,1,0,27.0,0.3,0,0,0,0,0,0,0,0,0.0,0.0,0.1,1,0,0,1,0,0,0,0,0,0,40,40,0,40
307,Pavao Pervan,AUT,TW,Wolfsburg,36-052,1987,3,3,270.0,3.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
308,Jens Petter Hauge,NOR,"MF,FW",Eint Frankfurt,24-084,1999,8,0,138.0,1.5,0,0,0,0,0,0,0,0,0.1,0.1,0.0,1,6,6,13,0,0,0,0,0,5,3,7,5,7
309,Luca Pfeiffer,GER,"FW,MF",Darmstadt 98,27-137,1996,16,13,1.004,11.2,1,3,4,1,0,0,3,0,2.0,2.0,0.9,29,7,21,47,9,27,36,9,36,18,8,26,18,26
310,Patric Pfeiffer,GER,DF,Augsburg,24-137,1999,6,4,371.0,4.1,0,1,1,0,0,0,0,0,0.2,0.2,0.6,8,1,12,3,0,24,24,0,24,6,14,19,6,19
311,Maximilian Philipp,GER,"FW,MF",Freiburg,29-309,1994,6,1,227.0,2.5,1,0,1,1,0,0,1,0,0.4,0.4,0.0,4,2,4,24,40,0,40,40,40,14,2,16,14,16
312,Florian Pick,GER,"MF,FW",Heidenheim,28-118,1995,11,1,215.0,2.4,0,0,0,0,0,0,1,0,0.1,0.1,0.2,3,7,7,18,0,0,0,0,0,6,8,14,6,14
313,Amos Pieper,GER,DF,Werder Bremen,25-352,1998,6,6,540.0,6.0,0,0,0,0,0,0,0,0,0.2,0.2,0.8,10,3,23,3,0,0,0,0,0,4,13,17,4,17
314,Marvin Pieringer,GER,"FW,MF",Heidenheim,24-092,1999,14,9,733.0,8.1,2,0,2,2,0,0,4,0,1.3,1.3,0.8,21,13,18,38,25,0,25,25,25,16,10,26,16,26
315,Alassane Pléa,FRA,"FW,MF",M'Gladbach,30-300,1993,16,15,1.169,13.0,7,2,9,6,1,1,1,0,5.5,4.7,2.1,68,36,66,94,54,15,69,46,62,42,17,59,36,53
