#{"t_start": 1705265892.0710604, "env_id": "CurvyRaceEnv-v0"}
r,l,t
-210.238456,100,329.037229
-235.807146,100,331.317688
-81.391412,100,333.605654
2204.879603,83,335.594363
2203.679909,75,337.300829
2232.330411,100,339.58229
2211.192785,88,341.576503
2197.170567,65,343.044765
2195.293003,47,344.103674
2195.391679,47,345.211627
2197.016143,48,346.356611
2194.926182,48,347.479075
2194.652366,48,348.59053
2198.202252,47,349.683969
2194.378508,46,350.739377
2197.209094,46,351.783273
2200.237539,48,352.885721
2198.342992,48,353.956641
2196.611908,46,355.015051
2197.785548,49,356.127006
2197.479719,45,357.172404
2197.427852,47,358.270848
2197.005419,47,359.369792
2196.253362,49,360.492757
2198.681548,47,361.585697
2199.374454,47,362.642104
2198.4565,49,363.782084
2198.549253,47,364.842495
2197.240393,48,365.905909
2198.892051,47,366.992842
2197.66464,46,368.057257
2198.054033,48,369.204242
2199.132356,45,370.291176
2196.721296,47,371.411639
2200.771173,48,372.501576
2198.90136,48,373.599019
2200.400736,49,374.743502
2199.131332,47,375.828435
2200.699094,47,376.88234
2200.272996,48,377.985788
2200.452604,49,379.089236
2198.284939,48,380.16516
2199.31284,50,381.350179
2197.178426,49,382.511176
2200.427222,48,383.62113
2199.572634,49,384.694553
2199.536606,49,385.817518
2198.700645,49,386.898446
2198.937998,46,387.946847
2198.13328,48,389.00926
2199.412234,50,390.195779
2200.477654,48,391.309237
2200.027525,50,392.509768
2199.937788,48,393.639238
2199.101549,48,394.844774
2199.163853,48,395.918698
2197.407599,46,396.982111
2201.397029,47,398.045525
2199.528138,49,399.153977
2197.077535,47,400.235907
2197.599941,48,401.302323
2196.504783,46,402.377747
2196.776767,48,403.457175
2197.888045,48,404.589148
2198.614024,51,405.739636
2196.429903,51,406.926156
2198.105068,51,408.063133
2198.811635,48,409.155571
2202.914316,49,410.254015
2198.188575,47,411.324435
1209.678228,100,413.706482
2199.638547,50,414.878489
2199.173355,50,416.059503
2200.861839,53,417.297067
2200.082829,51,418.506106
2198.203187,47,419.563014
2197.622987,53,420.787566
2195.681459,53,421.983594
2196.189449,54,423.251183
2198.856645,49,424.397668
2199.519299,54,425.671263
-87.352418,100,427.967235
-133.745654,100,430.281724
-216.038333,100,432.54667
-173.380721,100,434.823126
-198.07136,100,437.147624
-218.375654,100,439.510654
-219.800806,100,441.847662
-238.001071,100,444.101599
-221.152161,100,446.403077
-236.217182,100,448.713562
