#{"t_start": 1706727624.0760794, "env_id": "CurvyRaceEnv-v0"}
r,l,t
-111.15473,100,68.296685
-116.670218,100,68.499859
-112.486174,100,68.669004
-148.30638,100,68.873681
-143.311767,100,69.07135
-134.071683,100,69.274525
-147.11923,100,69.452678
63.063229,100,69.663359
-88.426912,100,69.869035
-92.682763,100,70.085222
-127.545546,100,70.270381
-148.454253,100,70.461044
-113.447452,100,70.645203
-142.686761,100,70.838368
-146.130377,100,71.021025
90.099447,100,71.231206
-103.625958,100,71.441387
-118.54978,100,71.632551
-145.766286,100,71.827719
-131.343492,100,72.012878
-100.486787,100,72.205543
-150.251981,100,72.402213
-129.747752,100,72.901142
-12.399256,100,73.085299
-23.336967,100,73.270458
-31.210334,100,73.448112
-23.113997,100,73.641278
110.762624,100,73.826937
-12.45005,100,73.999084
85.747039,100,74.184744
-47.057461,100,74.370403
104.132787,100,74.542552
-23.020134,100,74.729712
-35.296169,100,74.916373
-18.69839,100,75.08802
-29.502802,100,75.286691
-86.907935,100,75.481358
-24.538046,100,75.676026
-21.28114,100,75.851176
-24.071661,100,76.038337
-23.363704,100,76.219993
-15.963883,100,76.399647
-33.691071,100,76.596316
108.835013,100,76.806998
-21.409158,100,76.998663
-27.852569,100,77.179317
-22.386319,100,77.391499
35.021024,100,77.899436
75.2212,100,78.099607
110.542146,100,78.282265
-7.611285,100,78.464421
55.708634,100,78.645577
1.774091,100,78.82373
59.953037,100,79.007388
80.898997,100,79.18404
47.094205,100,79.364695
80.427321,100,79.536842
49.815265,100,79.725005
48.698331,100,79.911164
-1.855195,100,80.085314
-25.750278,100,80.27798
-18.583063,100,80.467643
43.614388,100,80.651301
101.922776,100,80.834458
61.472844,100,81.017115
72.315835,100,81.202274
44.555181,100,81.377926
40.975459,100,81.565585
57.362808,100,81.745741
92.056588,100,81.924895
-15.762318,100,82.110054
53.040078,100,82.613987
66.021215,100,82.787636
64.738534,100,82.970293
55.337643,100,83.154951
60.458971,100,83.330102
70.41935,100,83.51326
25.842067,100,83.692413
65.939449,100,83.868066
-6.350235,100,84.045717
57.718044,100,84.227373
-26.658738,100,84.399521
104.332578,100,84.59469
13.143789,100,84.788355
-93.263206,100,84.976017
76.816567,100,85.170183
66.213465,100,85.37586
17.459033,100,85.580536
108.548934,100,85.788715
164.152805,100,85.998396
73.79961,100,86.210077
77.567764,100,86.406745
52.811004,100,86.622431
49.353505,100,86.838118
20.668676,100,87.0508
-88.052533,100,87.582756
68.044539,100,87.781427
-67.107564,100,87.984602
-38.030534,100,88.185274
-45.542438,100,88.382944
-102.093557,100,88.580614
-91.02527,100,88.776282
-154.789597,100,88.981459
-32.179827,100,89.175626
-111.646349,100,89.363786
17.6286,100,89.574969
-76.855672,100,89.777142
-109.352023,100,89.956796
49.981596,100,90.154466
-11.034255,100,90.358642
-56.154771,100,90.556312
-102.413021,100,90.734464
-24.118868,100,90.931134
-13.944886,100,91.109287
-97.206738,100,91.305956
-111.849355,100,91.487612
-94.47546,100,91.682779
-10.126381,100,91.876946
-162.37219,100,92.066609
-108.148598,100,92.581552
44.219253,100,92.769714
39.265486,100,92.953871
50.195353,100,93.138029
44.820597,100,93.329695
45.20711,100,93.516355
16.923203,100,93.718529
48.527578,100,93.895181
35.568005,100,94.083342
39.071046,100,94.268001
46.169436,100,94.441149
43.659383,100,94.630312
49.920424,100,94.810467
51.430656,100,94.994125
47.572346,100,95.184788
48.004597,100,95.366444
42.432865,100,95.556608
36.492082,100,95.744269
32.972954,100,95.956452
-76.670004,100,96.143612
44.18996,100,96.327271
18.848584,100,96.521437
45.35256,100,96.701092
37.138678,100,96.891255
53.964814,100,97.087924
104.914711,100,97.579346
75.335444,100,97.761503
103.782322,100,97.94516
70.823234,100,98.119811
103.526057,100,98.300466
74.337587,100,98.482622
83.197108,100,98.674787
105.408142,100,98.86445
78.499025,100,99.042603
80.390103,100,99.216253
70.083563,100,99.396908
72.216619,100,99.582568
104.425164,100,99.757718
105.208494,100,99.944378
86.085385,100,100.130539
81.066553,100,100.3182
74.157075,100,100.503859
115.612187,100,100.687016
75.63187,100,100.88919
81.409957,100,101.065341
78.339215,100,101.251001
76.817263,100,101.440664
81.344501,100,101.625824
48.194054,100,101.80848
77.771374,100,102.311413
-195.114161,100,102.479557
-81.111189,100,102.673724
-240.36026,100,102.849875
-33.485608,100,103.01902
-183.86109,100,103.200177
-69.345477,100,103.377829
-228.245828,100,103.55398
-155.010807,100,103.733634
-199.932996,100,103.912788
-149.009042,100,104.085437
-205.983322,100,104.285109
-167.268723,100,104.560845
3.019034,100,104.838583
-88.388403,100,105.025744
-83.314571,100,105.190386
-71.109684,100,105.353025
-158.615028,100,105.517667
-176.418596,100,105.731351
-26.494024,100,105.888986
-85.126224,100,106.040617
-95.026218,100,106.210262
-101.974155,100,106.353385
-16.065988,100,106.482497
-48.663088,100,106.856818
-107.734538,100,106.990432
-138.235141,100,107.136558
-179.738634,100,107.295695
